61383	Sacrum	-	നട്ടെല്ലിന്റെ മൂട്‌
61384	Sacrum	n	പൂണെല്ല്‌
61386	Sad	a	ദുഃഖകരമായ
61387	Sad	a	ക്ലേശകരമായ
61388	Sad	a	ദാരുണമായ
61389	Sad	a	ശോചനീയമായ
61390	Sad	a	നന്നാക്കാനൊക്കാത്ത
61391	Sad	a	ഇരുണ്ട
61392	Sad	a	സങ്കടകരമായ
61393	Sad	a	ദുഃഖസൂചകമായ
61394	Sad	a	വളരെ മോശപ്പെട്ട
61395	Sad	a	വിഷാദാത്മകമായ
61396	Sad	a	കറുത്ത
164163	Sad	a	ദുഃഖിതനായ
194256	Sad	a	വിഷാദാത്മകരമായ
194257	Sad	a	വ്യസനകരമായ
194258	Sad	a	ശോകാകുലമായ
61406	Sad colour	n	ഇരുണ്ട നിറം
61407	Sad colour	n	മങ്ങിയ നിറം
61408	Sad iron	n	പരന്ന കട്ടിഇരുമ്പ്‌
61409	Sad sack	n	വെറും അബദ്ധന്‍
116357	Sad state of affairs	n	മോശമായ അവസ്ഥ
61398	Sadden	v	വ്യസനിപ്പിക്കുക
61399	Sadden	v	ദുഃഖിപ്പിക്കുക
61400	Sadden	v	മ്ലാനമാക്കുക
164599	Sadden	v	ദുഃഖിക്കുക
164600	Sadden	v	വിഷമിപ്പിക്കുക
194259	Sadden	-	വിഷാദിപ്പിക്കുക
118572	Saddened	a	മ്ലാനമായ
118573	Saddened	a	ദുഃഖിതനായ
61437	Saddle	n	ജീനി
61438	Saddle	n	പര്യാണം
61439	Saddle	v	കുറ്റം ചുമത്തുക
61440	Saddle	v	ജീനിയിടുക
61441	Saddle	v	ഭാരം കയറ്റുക
164959	Saddle	n	വാഹനത്തില്‍ ഘടിപ്പിച്ചിട്ടുള്ള ഇരിപ്പിടം
164960	Saddle	n	ചുവടിനു കീഴെ വയ്‌ക്കുന്ന തിരിക
194260	Saddle	v	ജീന്‍കോപ്പ്
194261	Saddle	v	കുതിരച്ചേണം
194262	Saddle	n	ചുമട്ടുമൃഗത്തിന്‍റെ മുതുകിലെ ചുമടുതാങ്ങി
213834	Saddle	n	ചുമടിനു കീഴെവയ്ക്കുന്ന തിരിക
61444	Saddle cloth	n	കുതിരച്ചേണം
116358	Saddle with	v	ഉത്തരവാദിത്വം ഏല്‍പ്പിക്കുക
61445	Saddle-horse	n	സവാരിക്കുതിര
61446	Saddle-tree	n	ജീന്‍ചട്ടം
165124	Saddler	n	ജീനികള്‍ നിര്‍മ്മിക്കുകയും കേടുപോക്കുകയും ചെയ്യുന്ന ആള്‍
